"id","phase","priority","area","component_scope","current_external_style_surface","top_level_token_audit","todo","acceptance_criteria","status"
"TT-001","Foundation","P0","Theme API","PaletteTheme, PaletteMaterialTheme","Top-level colors/spacing/shapes/typography/strings/darkTheme plus Material3 bridge.","Basic global token injection exists but no component-level theme registry.","Design PaletteComponentThemes and add it to PaletteTheme/PaletteMaterialTheme as the single top-level component override entry.","Project can override at least button/textField/card/select styles once at app root without passing per-instance style params.","DONE"
"TT-002","Foundation","P0","Token taxonomy","Core tokens","PaletteColors has primary/onPrimary/border/surface/onSurface/hint/error/onError/success/warning; spacing/shapes/typography are minimal.","Color coverage is useful but missing common library tokens for secondary text, disabled states, hover/pressed, elevated surfaces, dividers, overlays, shadows, info/danger aliases, inverse colors.","Define a public token taxonomy: semantic colors, state colors, surface layers, text levels, border/divider, shadow/elevation, opacity, motion, size, radius, spacing, typography.","Token names are documented with meaning and examples; component authors can map major style surfaces without inventing ad hoc constants.","DONE"
"TT-003","Foundation","P0","Precedence model","All components","Many XxxDefaults expose local color functions or colors() builders; dimensions often constants.","No consistent global-to-local precedence is documented in code/tests.","Implement and document precedence: explicit component param > XxxDefaults param > component theme token > semantic token > controlled fallback.","At least 5 representative components have tests proving explicit params still override top-level theme tokens.","DONE"
"TT-004","Foundation","P0","Component token contract","All XxxDefaults","Defaults objects contain many Dp/sp/Float constants and composable color functions.","No standard shape for component token classes.","Create a component token pattern: immutable XxxTokens/XxxTheme with colors, sizes, typography, radius, border, elevation, motion only where they are major user-facing style surfaces.","New components can follow a documented template; old components can be migrated incrementally without API breaks.","DONE"
"TT-005","Foundation","P0","Copy/derive ergonomics","PaletteColors, PaletteSpacing, PaletteShapes, PaletteTypography, component tokens","PaletteColors is a class with manual equals/hashCode; users must construct whole token objects.","Partial customization is not as ergonomic as mainstream theme overrides.","Provide copy/derive helpers or data-class-like APIs for theme tokens while preserving binary/API expectations.","User can change primary color or default radius by overriding only that field and keeping all other defaults.","DONE"
"TT-006","Foundation","P0","Form/control tokens","FormTokens, ComponentSize, ComponentStatus","FormTokens and ComponentSize encode heights, padding, radius, font, border, motion.","Hardcoded object/enum prevents top-level project density and size control.","Move form field size/radius/padding/border/focus/motion values into top-level form/control tokens; keep old API as compatibility facade where needed.","TextField/Select/Cascader/InputNumber/SearchBar can share one top-level control density theme.","DONE"
"TT-007","Foundation","P1","Material3 bridge","PaletteMaterialTheme, toMaterialScheme","Material ColorScheme is derived from the limited PaletteColors set.","Bridge is coarse and duplicates several Material slots from primary/surface.","Expand mapping or allow top-level Material color overrides to be generated from richer Palette semantic tokens.","Material3 components used by app and Palette components visually align after only Palette token overrides.","DONE"
"TT-008","Foundation","P1","Validation tooling","All Defaults files","Manual review currently needed to find raw Color/dp/sp style constants.","No guardrail prevents new hardcoded major style values.","Add a static audit task or convention test that flags major style constants in XxxDefaults not backed by theme tokens, with allowlist for algorithmic constants.","CI fails or warns when a new component introduces unowned public style constants.","DONE"
"TT-009","Foundation","P1","Migration safety","All components","Many public constants are likely used externally.","Direct replacement could be source or binary breaking.","Create migration rules: keep existing constants as deprecated aliases where public, add token-backed functions next to them, then remove in a major version only if needed.","Existing demos/tests compile after each migration step; deprecations include replacement guidance.","DONE"
"TT-010","Foundation","P1","Documentation","README, docs, Demo app","Theme usage exists in demo but no component-theme customization guide.","Users cannot discover which top-level token controls which component style.","Write a theming guide with examples for brand theme, compact density, rounded/sharp shapes, dark mode, and per-component overrides.","Docs include a token-to-component matrix generated from this audit and kept current.","DONE"
"TT-011","Core","P0","Colors","PaletteColors, PaletteSemanticColors, PaletteColorsExtensions","Several derived colors exist as extensions; many alpha variants are in component files.","Current tokens partially cover colors; disabled/hover/selected/background alpha variants are scattered.","Promote repeated derived colors into semantic/state tokens: textSecondary, textDisabled, borderHover, borderFocus, bgDisabled, bgHover, bgSelected, surfaceElevated, overlay, divider, shadow.","Components stop hardcoding repeated alpha formulas for major states; users can globally tune disabled/hover/selected appearance.","DONE"
"TT-012","Core","P0","Spacing/radius/typography","PaletteSpacing, PaletteShapes, PaletteTypography","Spacing only none/xs/s/m/l/xl; shapes small/medium/large; typography title/body/label.","Does not cover common component sizes, control density, page spacing, overlay radius, compact/large variants.","Extend tokens with density-aware component sizing, radius scale, typography scale, line heights, icon sizes and content padding aliases.","Button/Form/List/Table/Menu can derive height/padding/font/radius from shared top-level sizing tokens.","DONE"
"TT-013","Core","P1","Motion/elevation/opacity","FormTokens and many Defaults constants","AnimationDuration, Elevation, DisabledAlpha, OverlayAlpha appear in components.","No top-level motion/elevation/opacity tokens.","Add PaletteMotion, PaletteElevation and PaletteOpacity tokens for common durations, easing labels, shadow/elevation levels, disabled/scrim/hover opacity.","Toast/Dialog/Drawer/Menu/Switch/Segmented/Carousel animation and elevation can be globally adjusted.","DONE"
"TT-014","Foundation","P1","Foundation components","BorderContainer, CenterVerticallyRow","BorderContainer exposes width/height/border/corner/padding/colors; layout row has no style surface.","BorderContainer color uses PaletteDefaults but size/radius are hardcoded.","Add foundation/control container tokens for height, width policy, border width, radius, padding; keep layout utilities token-free unless they render style.","BorderContainer can be aligned with TextField density from top-level control tokens.","DONE"
"TT-015","Base","P0","Text and Screen","PText, Screen","PText uses LocalTextStyle/LocalContentColor; TextDefaults reads PaletteTheme; Screen has ScreenColors.","Text is mostly covered; Screen color covered but background/content variants are minimal.","Add top-level text roles and screen/surface tokens: primary/secondary/tertiary/disabled/inverse text, page background, app background, elevated surface.","Changing text hierarchy and app background at root affects PText/Screen and components using text roles.","DONE"
"TT-016","Action","P0","Button","PButton, ButtonDefaults, ButtonSize","External surface: type, size, width, disabled/loading; colors implicit; size enum carries padding/font/radius.","Colors partly tokenized; size, padding, radius, width, disabled alpha are hardcoded; danger/plain contain Color.Black alpha.","Add ButtonTokens for variants primary/danger/plain, content/container/border/hover/pressed/disabled, sizes, padding, font, radius, loading spacing, default width.","All button visual defaults are controlled by PaletteTheme.componentThemes.button; existing ButtonSize remains as compatibility facade.","DONE"
"TT-017","Selection","P0","Checkbox","ColoredCheckBox, CheckboxDefaults","External surface includes colors() builder and color().","Colors are tokenized through PaletteTheme but no top-level checkbox-specific tokens; dimensions/interactions need audit.","Add CheckboxTokens for checked/unchecked/checkmark/disabled/focus/hover colors, size, stroke, radius, animation.","Root theme can make all checkboxes square/rounded and tune hover/focus colors without per-instance colors().","DONE"
"TT-018","Selection","P0","Radio","Radio, RadioDefaults","External surface appears through Defaults colors and label/description sizing.","Colors tokenized; padding/radius/icon/font/disabled alpha are hardcoded.","Add RadioTokens for checked/unchecked/label/description colors, item padding, radius, icon size, typography, disabled alpha.","Radio can follow global compact/comfortable density and text hierarchy.","DONE"
"TT-019","Selection","P0","Switch","Switch, SwitchDefaults","External surface uses checked/unchecked/thumb/disabled colors and fixed track metrics.","Colors tokenized; geometry, radius, thumb offsets, alpha and motion mostly hardcoded/FormTokens.","Add SwitchTokens for track/thumb colors by state, width/height/thumb/offset/radius, disabled alpha, motion.","Global switch size and track shape can be changed from top-level theme.","DONE"
"TT-020","Selection","P1","Slider and Rate","Slider, Rate, DashboardProgress","External surface includes progress/track/thumb/rate colors and size constants.","Colors tokenized; star/track/thumb/label/stroke/font metrics are constants.","Add SliderTokens and RateTokens for active/inactive/disabled colors, thumb/track/star sizes, label typography, shadow, spacing.","Compact and large control themes change sliders/rates consistently.","DONE"
"TT-021","Selection","P1","Toggle and Segmented","Toggle, Segmented","External surface includes pressed/selected colors, padding, radius, spacing, disabled alpha.","Colors tokenized but component-state containers are alpha formulas; dimensions/motion hardcoded.","Add ToggleTokens and SegmentedTokens for state colors, group spacing, item padding, radius, disabled alpha, indicator motion.","Top-level theme controls pill vs rectangular segmented/toggle groups.","DONE"
"TT-022","Form","P0","TextField family","BorderTextField, TextArea, PasswordField, TextFieldDefaults","External surface: size, status, placeholder/icons/prefix/suffix/clearable/count; colors() exists for basic colors.","Color coverage is decent; height/font from ComponentSize; border/radius/FormTokens partly hardcoded; TextArea/Password should share same tokens.","Add TextFieldTokens for text/placeholder/container/border/focus/hover/error/success/warning/disabled/cursor/count colors, size variants, radius, padding, icon sizes, shadow, motion.","All text field variants respond to one top-level form control theme.","DONE"
"TT-023","Form","P0","Select family","Select, Autocomplete, Cascader, CascaderPanel, TreeSelect, Mentions","External surfaces include colors() on Select/Cascader/TreeSelect and Defaults color functions for others.","Colors mostly tokenized; dropdown widths/heights/item height/padding/radius/font/arrow/icon alpha hardcoded; no shared dropdown/control token.","Add SelectLikeTokens or per-component tokens sharing dropdown container/item/selected/hover/disabled/search/popup metrics and colors.","Root theme changes dropdown item height, hover color, selected background, radius and typography across select-like components.","DONE"
"TT-024","Form","P1","Date/time controls","DatePicker, TimePicker, DateTimeRange, Calendar","External surface mostly value/status/placeholder; defaults expose text/placeholder/invalid and calendar metrics.","Date/time input colors tokenized; calendar cell/header/selected/today metrics hardcoded.","Add DateTimeTokens and CalendarTokens for input colors, calendar cell sizes, typography, selected/today/disabled colors, radius, spacing.","Calendar and picker popup visuals can be tuned globally without editing component call sites.","DONE"
"TT-025","Form","P1","Numeric and OTP controls","InputNumber, InputOTP, SearchBar","External surface includes value/limits/search actions; Defaults define button/search/OTP cell colors and metrics.","Colors tokenized; width, button width, cell size, font, radius, icon sizes, disabled alpha hardcoded.","Add InputNumberTokens, InputOtpTokens and SearchBarTokens for major colors, dimensions, typography, radius, icon/button metrics.","Project can globally align numeric, OTP and search controls with form density.","DONE"
"TT-026","Form","P0","Form layout","Form, FormItem, FormFields, FormDefaults","External surface includes layout/form item behavior; defaults include item spacing, label width, label/helper font/color.","Colors tokenized but spacing/width/font hardcoded.","Add FormTokens under top-level theme for item spacing, label width, label/input/helper gap, label/helper typography, required/error/help colors.","Changing form density at root updates label spacing and helper typography consistently.","DONE"
"TT-027","Navigation","P1","Menu and context navigation","Menu, ContextMenu, CommandPalette","External surface includes items/selection and context menu provider; defaults include selected colors and menu/item metrics.","Colors tokenized; dimensions/radius/elevation/font/motion hardcoded.","Add MenuTokens and CommandPaletteTokens for item colors/states, padding, radius, width, height, typography, elevation, motion.","Root theme can make menus compact and adjust selected/hover states across Menu/ContextMenu/CommandPalette.","DONE"
"TT-028","Navigation","P1","Tabs/Breadcrumb/Steps/Collapse","Tabs, Breadcrumb, Steps, Collapse","External surface includes active/current/done colors and item dimensions.","Colors tokenized; padding/indicator/dot/line/title height/spacing hardcoded.","Add navigation tokens for tab item padding/indicator, breadcrumb text/current/separator colors, step dot/line/status colors, collapse header/content spacing.","Navigation components inherit top-level density and state colors.","DONE"
"TT-029","Navigation","P1","Toolbar and PageHeader","Toolbar, PageHeader","External surface: ToolbarColors builder; PageHeader default background/title/subtitle/back colors and metrics.","Colors tokenized; height/font/icon/padding/spacing hardcoded.","Add AppBar/PageHeader tokens for container/content colors, height, title/subtitle typography, icon size, padding, back/action spacing.","Global app chrome can be branded from root theme.","DONE"
"TT-030","Data Display","P0","Card","PCard, CardDefaults","External surface: variant, onClick, CardColors; radius/padding/elevation/border constants.","Colors tokenized; radius/padding/elevation/border not top-level controllable.","Add CardTokens for elevated/filled/outlined container/content/border colors, radius, content padding, elevation, border width.","Root theme can switch cards to sharp/flat/outlined-heavy style without per-card params.","DONE"
"TT-031","Data Display","P0","Table and DataGrid","Table, DataGrid","External surface: TableColors builder, row/header sizes; DataGrid defaults for header/row/cell colors.","Colors tokenized; row/header heights, padding, divider thickness, selection colors partly alpha formulas.","Add TableTokens/DataGridTokens for header/row/cell colors, selected/hover states, heights, padding, divider, typography.","Compact/comfortable table density and selected row color can be set at theme root.","DONE"
"TT-032","Data Display","P1","List and Descriptions","List, Descriptions","External surface: item/divider/label/content colors and layout constants.","Colors tokenized; item height, row height, label width, padding, divider thickness hardcoded.","Add ListTokens and DescriptionsTokens for item/row dimensions, divider, label/content colors, padding, typography.","Root theme adjusts information density for list-like displays.","DONE"
"TT-033","Data Display","P1","Tag/Badge/Avatar","Tag, Badge, Avatar","External surface: tag variant/size/color, badge size/color, avatar size/background/text.","Colors tokenized; TagSize/AvatarSize/Badge sizes/radius/padding hardcoded; custom color derivation local.","Add TagTokens, BadgeTokens, AvatarTokens for semantic variants, size scale, radius, close icon size, text/icon colors, custom-color derivation alpha.","Global theme controls chip pill shape, badge scale and avatar sizes.","DONE"
"TT-034","Data Display","P1","Statistic/Result/Empty/Alert","Statistic, Result, Empty, Alert","External surface: status/type and semantic colors; defaults include icon sizes, typography, spacing.","Most semantic colors tokenized; some trend colors are raw Color; dimensions/font/spacing hardcoded.","Add FeedbackDisplayTokens for result/empty/alert/statistic colors, typography, icon sizes, spacing, radius, border.","Status display components share brand semantic colors and typography from root theme.","DONE"
"TT-035","Feedback","P0","Message/Notification/Toast","Message, Notification, Toast","External surface: message type/content/duration; defaults include container/text/accent colors and size/motion constants.","Colors tokenized but container alpha, dimensions, radius, icon size, motion and typography hardcoded.","Add FeedbackOverlayTokens for message/notification/toast container, text/accent/border colors by type, width constraints, padding, radius, icon sizes, motion, elevation.","Global theme changes toast/message/notification style without altering emitter APIs.","DONE"
"TT-036","Overlay","P0","Dialog/Drawer/Popup/ActionSheet","Dialog, Drawer, Popup, ActionSheet","External surface includes visibility/actions/content; defaults define colors and layout metrics.","Colors tokenized; overlay alpha, radius, padding, dimensions, divider, draggable line, button typography, motion/elevation hardcoded.","Add OverlayTokens and component tokens for modal containers, scrim, radius, padding, width, divider, drag handle, title/content/action typography, motion/elevation.","A project can globally create square modals, custom scrim opacity and compact sheets.","DONE"
"TT-037","Overlay","P1","Popover/Tooltip/Popconfirm/Tour","Popover, Tooltip, Popconfirm, Tour","External surface includes content/placement; defaults expose container/text/border colors and dimensions.","Colors tokenized but radius, padding, elevation, max width, offset, typography and motion hardcoded.","Add FloatingLayerTokens for surface/text/border colors, radius, padding, offset, arrow/anchor metrics where relevant, elevation, typography, motion.","All floating help/confirm/tour surfaces visually align from root theme.","DONE"
"TT-038","Progress","P1","Progress/Loading/Skeleton","Progress, DashboardProgress, Loading, Skeleton","External surface includes progress/loading type; defaults expose colors and size metrics.","Colors tokenized; linear/circle sizes, stroke, skeleton sizes/radius, loading dot/stroke/platform sizes hardcoded.","Add ProgressTokens, LoadingTokens and SkeletonTokens for colors, sizes, stroke widths, radius, typography, animation duration.","Root theme can tune indicator size/thickness and skeleton shape consistently.","DONE"
"TT-039","Timeline","P1","Timeline and Steps visuals","Timeline, Steps","External surface includes timeline item color override and status.","Colors tokenized; dot/line sizes and spacings hardcoded.","Add TimelineTokens for dot/line/status colors, dot/line sizes, content gap, item spacing.","Timeline and steps share status colors and density from theme.","DONE"
"TT-040","Data Entry","P1","Transfer/Tree/Sortable/VirtualList/InfiniteScroll","Transfer, Tree, Sortable, VirtualList, InfiniteScroll","External surfaces focus on data behavior; defaults expose item colors, sizes, padding and typography.","Colors tokenized; panel sizes, item height, indent, padding, font, overscan/threshold partially algorithmic.","Add tokens for visual density/colors for Transfer, Tree, Sortable, VirtualList and InfiniteScroll; keep algorithmic overscan/threshold explicit unless style-facing.","List/tree/transfer components can be compacted globally while behavior constants remain explicit.","DONE"
"TT-041","Media","P2","Carousel/Image/ColorPicker","Carousel, Image, ColorPicker","External surface includes image painter/content, carousel items, color selection; defaults expose colors/dimensions.","Carousel colors tokenized; image shape hardcoded; colorpicker metrics hardcoded; colorpicker hue domain should stay algorithmic.","Add CarouselTokens for indicators/arrows, ImageTokens for shape/background, ColorPickerTokens for panel/control dimensions/radius/thumb/preset spacing.","Visual media components can match app radius/density without changing content APIs.","DONE"
"TT-042","Utility","P2","QRCode/Barcode/Watermark","QRCode, Barcode, Watermark","External surface includes value/type; defaults expose size/background/content/watermark color/font/gap.","QRCode/Barcode black/white defaults are not theme-controlled by default; some may intentionally remain explicit for scannability.","Define which visual utility defaults are themeable; add tokens for watermark text/gap/alpha and optional QR/Barcode foreground/background with safe defaults.","Utility defaults remain scannable but projects can globally theme watermark and explicitly opt into code colors.","DONE"
"TT-043","Layout","P1","Grid/Space/Affix","Grid, Space, Affix","External surface: grid columns/gutter, space size/direction, affix offset/zIndex.","Space defaults are hardcoded; grid columns may be structural; affix zIndex is style/platform-like.","Add layout tokens for common spacing presets and z-index layers; keep grid column count as structural default unless product requirement says themeable.","Space component reads Palette spacing scale and affix uses z-index layer token.","DONE"
"TT-044","Floating Action","P1","Backtop/FloatButton","Backtop, FloatButton","External surface: visibility/click/actions; defaults include size/icon/radius/elevation/colors/text metrics.","Colors tokenized; dimensions/radius/elevation/font hardcoded.","Add FloatingActionTokens for container/icon/text colors, sizes, radius, elevation, label padding/font, visibility threshold if considered product style.","Root theme can align floating action buttons with button/card radius and elevation.","DONE"
"TT-045","Structure","P1","ComponentSize","ComponentSize enum consumers: TextField, Badge, Rate, etc.","Size enum owns height/font/icon/padding/radius.","Enum constants are not top-level controllable and conflict with project density themes.","Introduce token-backed component size scale and adapt ComponentSize helpers to read current theme where composable context allows.","Small/Medium/Large map to project-defined density values while preserving enum usage.","DONE"
"TT-046","Structure","P1","Raw alpha formulas","Many Defaults files","Common formulas include primary.copy(0.12f), onSurface.copy(0.6f), border.copy(0.5f), Color.Black.copy(...).","Alpha values are style decisions but scattered across components.","Centralize state opacity tokens and derived semantic colors for selected, hover, disabled, subtle text, elevated overlay and danger/plain button backgrounds.","A global opacity tweak changes selected/disabled/subtle surfaces consistently.","DONE"
"TT-047","Structure","P1","External style API audit","All component public params","Some components expose colors() builders; many expose only Defaults constants; dimensions are rarely parameterized.","No matrix of what should be publicly adjustable per component.","For each component, define the intended public style surface: colors object, size enum/token, variant, shape/radius, typography, elevation, motion; document what remains internal.","Reviewers can reject over-exposed internal knobs and under-tokenized major style surfaces using the matrix.","DONE"
"TT-048","Tests","P0","Theme override tests","Representative components","Existing tests cover behavior but not systematically global theme overrides.","No assurance that top-level token changes propagate.","Add tests for Button, TextField, Select, Card, Table, Dialog, Message, Tag, Screen verifying top-level token override and explicit param precedence.","Theme override test suite fails if a component bypasses top-level tokens for major style surfaces.","DONE"
"TT-049","Tests","P1","Dark mode and states","All tokenized components","Dark mode uses PaletteColors.dark and local if branches.","Many state colors are implicit alpha formulas.","Add regression tests for dark/light, disabled, hover, focus, selected, error/warning/success using token overrides where testable.","State style behavior stays stable during token migration.","DONE"
"TT-050","Release","P1","API migration docs","Palette.kt exports, README, changelog","Top-level exports already alias many Defaults and tokens.","New token types will require exports and migration guidance.","Add token exports to Palette.kt, deprecation notes for old constants, and changelog entries grouped by non-breaking vs breaking changes.","Library users can migrate from per-component defaults to top-level theme tokens with clear steps.","DONE"
